--------- beginning of main
--------- beginning of system
09-03 13:45:45.938 15293 19853 D PhoneFallML: Locomotion cadence detected after shock (AccStd=0.2709147, GyroPeak=4.514368). Aborting false alarm.
09-03 13:46:00.892 15293 19913 D PhoneFallML: Activity=WALKING, FallProb=0.2814, AccPeak=11.06, AccMin=9.48, AccRange=1.58, AccStd=0.25, GyroPeak=0.74, JerkPeak=34.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=9ms
09-03 13:46:01.277 15293 28764 D PhoneFallML: Activity=WALKING, FallProb=0.2543, AccPeak=10.05, AccMin=8.59, AccRange=1.46, AccStd=0.35, GyroPeak=1.33, JerkPeak=14.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=8ms
09-03 13:46:01.649 15293 19913 D PhoneFallML: Activity=FALL_BACKWARD, FallProb=0.6560, AccPeak=18.99, AccMin=5.84, AccRange=13.15, AccStd=2.28, GyroPeak=2.85, JerkPeak=152.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=3ms
09-03 13:46:02.040 15293 19852 D PhoneFallML: Activity=STANDING, FallProb=0.2874, AccPeak=21.86, AccMin=5.84, AccRange=16.03, AccStd=2.79, GyroPeak=2.85, JerkPeak=642.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-03 13:46:02.421 15293 19913 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5327, AccPeak=21.86, AccMin=7.74, AccRange=14.12, AccStd=1.67, GyroPeak=2.69, JerkPeak=642.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:46:02.816 15293 28764 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9345, AccPeak=10.05, AccMin=9.05, AccRange=1.00, AccStd=0.15, GyroPeak=0.94, JerkPeak=26.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=11ms
09-03 13:46:03.184 15293 19913 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9530, AccPeak=9.97, AccMin=9.52, AccRange=0.45, AccStd=0.06, GyroPeak=0.20, JerkPeak=12.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-03 13:46:03.571 15293 19856 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9590, AccPeak=10.20, AccMin=9.18, AccRange=1.02, AccStd=0.16, GyroPeak=0.38, JerkPeak=45.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-03 13:46:03.934 15293 19856 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9312, AccPeak=12.64, AccMin=9.18, AccRange=3.46, AccStd=0.86, GyroPeak=1.96, JerkPeak=45.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-03 13:46:04.320 15293 19856 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.7593, AccPeak=12.64, AccMin=8.30, AccRange=4.34, AccStd=0.97, GyroPeak=2.17, JerkPeak=45.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:46:04.655 15293 19913 D PhoneFallML: Activity=WALKING, FallProb=0.4024, AccPeak=11.39, AccMin=7.50, AccRange=3.90, AccStd=0.96, GyroPeak=2.17, JerkPeak=36.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=5ms
