--------- beginning of main
--------- beginning of system
09-02 19:02:30.654 22240  2309 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.6469, AccPeak=16.48, AccMin=9.07, AccRange=7.41, AccStd=1.69, GyroPeak=4.57, JerkPeak=110.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=14ms
09-02 19:02:30.959 22240 29345 D PhoneFallML: Activity=WALKING, FallProb=0.4037, AccPeak=16.48, AccMin=6.77, AccRange=9.71, AccStd=2.27, GyroPeak=4.57, JerkPeak=110.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=16ms
09-02 19:02:31.416 22240  1837 D PhoneFallML: Activity=WALKING, FallProb=0.5276, AccPeak=12.04, AccMin=6.77, AccRange=5.27, AccStd=1.39, GyroPeak=2.52, JerkPeak=67.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=128ms
09-02 19:02:31.724 22240  1837 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7988, AccPeak=10.50, AccMin=7.67, AccRange=2.83, AccStd=0.41, GyroPeak=1.34, JerkPeak=67.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=14ms
09-02 19:02:32.168 22240  1834 D PhoneFallML: Activity=FALL_RIGHT, FallProb=0.7131, AccPeak=10.37, AccMin=7.24, AccRange=3.13, AccStd=0.66, GyroPeak=1.09, JerkPeak=24.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=9ms
09-02 19:02:32.608 22240  1834 D PhoneFallML: Activity=WALKING, FallProb=0.2604, AccPeak=26.74, AccMin=7.24, AccRange=19.50, AccStd=2.50, GyroPeak=3.42, JerkPeak=754.7, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
09-02 19:02:33.011 22240 27959 D PhoneFallML: Activity=WALKING, FallProb=0.1644, AccPeak=26.74, AccMin=7.26, AccRange=19.48, AccStd=2.44, GyroPeak=3.42, JerkPeak=754.7, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=9ms
09-02 19:02:33.482 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5284, AccPeak=11.83, AccMin=8.07, AccRange=3.76, AccStd=0.61, GyroPeak=2.12, JerkPeak=137.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=100ms
09-02 19:02:33.814 22240  1834 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8380, AccPeak=9.93, AccMin=9.61, AccRange=0.32, AccStd=0.06, GyroPeak=0.53, JerkPeak=7.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=10ms
09-02 19:02:34.297 22240  1837 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8306, AccPeak=10.21, AccMin=9.34, AccRange=0.87, AccStd=0.10, GyroPeak=1.91, JerkPeak=37.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=142ms
09-02 19:02:34.595 22240  3006 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.5623, AccPeak=15.43, AccMin=8.80, AccRange=6.63, AccStd=1.52, GyroPeak=4.08, JerkPeak=141.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=9ms
09-02 19:02:34.944 22240  1837 D PhoneFallML: Activity=WALKING, FallProb=0.4592, AccPeak=15.43, AccMin=8.06, AccRange=7.37, AccStd=1.79, GyroPeak=4.08, JerkPeak=141.6, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=29ms
09-02 19:02:35.341 22240  1837 D PhoneFallML: Activity=WALKING, FallProb=0.3812, AccPeak=10.28, AccMin=8.06, AccRange=2.22, AccStd=0.67, GyroPeak=1.91, JerkPeak=11.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=7ms
