session_id,timestamp,accX,accY,accZ,gyroX,gyroY,gyroZ,pitch,roll,yaw,latitude,longitude,altitude,speed,accuracy,heartRate,spo2,pressure,activity
SESSION_20260901_205752_B498,1788276473230,0.15083471,-0.20829555,9.531317,-0.008552114,-0.0036651916,0.0012217305,1.9249113,-1.3236495,-11.1996765,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473230,0.15083471,-0.20829555,9.531317,-0.008552114,-0.0036651916,0.0012217305,1.8456182,-1.2934941,-11.201376,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473250,0.2657564,-0.2753332,9.49301,-0.008552114,-0.0036651916,0.0012217305,1.8456182,-1.2934941,-11.201376,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473250,0.2657564,-0.2753332,9.49301,-0.008552114,-0.002443461,0.0,1.8456182,-1.2934941,-11.201376,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473250,0.2657564,-0.2753332,9.49301,-0.008552114,-0.002443461,0.0,1.7531675,-1.2323651,-11.204536,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473270,0.30406362,-0.4141969,9.536105,-0.008552114,-0.002443461,0.0,1.7531675,-1.2323651,-11.204536,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473270,0.30406362,-0.4141969,9.536105,-0.007330383,-0.002443461,0.0,1.7531675,-1.2323651,-11.204536,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473270,0.30406362,-0.4141969,9.536105,-0.007330383,-0.002443461,0.0,1.8149456,-1.3128324,-11.202665,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473290,0.16998832,-0.24420857,9.485827,-0.007330383,-0.002443461,0.0,1.8149456,-1.3128324,-11.202665,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473290,0.16998832,-0.24420857,9.485827,-0.007330383,-0.0036651916,0.0012217305,1.8149456,-1.3128324,-11.202665,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473290,0.16998832,-0.24420857,9.485827,-0.007330383,-0.0036651916,0.0012217305,1.8706754,-1.3609452,-11.201613,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473310,0.21787235,-0.31364042,9.509769,-0.007330383,-0.0036651916,0.0012217305,1.8706754,-1.3609452,-11.201613,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473310,0.21787235,-0.31364042,9.509769,-0.008552114,-0.0036651916,0.002443461,1.8706754,-1.3609452,-11.201613,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473310,0.21787235,-0.31364042,9.509769,-0.008552114,-0.0036651916,0.002443461,1.8758324,-1.3146837,-11.20387,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473330,0.22505496,-0.31364042,9.485827,-0.008552114,-0.0036651916,0.002443461,1.8758324,-1.3146837,-11.20387,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473330,0.22505496,-0.31364042,9.485827,-0.007330383,-0.002443461,0.0012217305,1.8758324,-1.3146837,-11.20387,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473330,0.22505496,-0.31364042,9.485827,-0.007330383,-0.002443461,0.0012217305,1.885133,-1.3188102,-11.20591,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473350,0.25617957,-0.38067806,9.552865,-0.007330383,-0.002443461,0.0012217305,1.885133,-1.3188102,-11.20591,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473350,0.25617957,-0.38067806,9.552865,-0.008552114,-0.002443461,0.0,1.885133,-1.3188102,-11.20591,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473350,0.25617957,-0.38067806,9.552865,-0.008552114,-0.002443461,0.0,1.9560192,-1.300437,-11.207803,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473370,0.30645782,-0.2777274,9.586384,-0.008552114,-0.002443461,0.0,1.9560192,-1.300437,-11.207803,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473370,0.30645782,-0.2777274,9.586384,-0.007330383,-0.002443461,0.0012217305,1.9560192,-1.300437,-11.207803,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473370,0.30645782,-0.2777274,9.586384,-0.007330383,-0.002443461,0.0012217305,1.9899848,-1.3863018,-11.204698,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473390,0.272939,-0.24181437,9.581595,-0.007330383,-0.002443461,0.0012217305,1.9899848,-1.3863018,-11.204698,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473390,0.272939,-0.24181437,9.581595,-0.007330383,-0.002443461,0.0012217305,1.9899848,-1.3863018,-11.204698,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473390,0.272939,-0.24181437,9.581595,-0.007330383,-0.002443461,0.0012217305,1.9413688,-1.4590414,-11.2028,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473410,0.17238252,-0.38067806,9.562442,-0.007330383,-0.002443461,0.0012217305,1.9413688,-1.4590414,-11.2028,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473410,0.17238252,-0.38067806,9.562442,-0.008552114,-0.0036651916,0.0012217305,1.9413688,-1.4590414,-11.2028,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473410,0.17238252,-0.38067806,9.562442,-0.008552114,-0.0036651916,0.0012217305,1.7528179,-1.4656181,-11.20389,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473430,0.19393034,-0.2657564,9.481039,-0.008552114,-0.0036651916,0.0012217305,1.7528179,-1.4656181,-11.20389,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473430,0.19393034,-0.2657564,9.481039,-0.008552114,-0.002443461,-0.0012217305,1.7528179,-1.4656181,-11.20389,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473430,0.19393034,-0.2657564,9.481039,-0.008552114,-0.002443461,-0.0012217305,1.790242,-1.361932,-11.207835,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473450,0.25617957,-0.18435353,9.435549,-0.008552114,-0.002443461,-0.0012217305,1.790242,-1.361932,-11.207835,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473450,0.25617957,-0.18435353,9.435549,-0.007330383,-0.002443461,0.0,1.790242,-1.361932,-11.207835,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473450,0.25617957,-0.18435353,9.435549,-0.007330383,-0.002443461,0.0,1.7995858,-1.365754,-11.206761,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473470,0.22026655,-0.25617957,9.466674,-0.007330383,-0.002443461,0.0,1.7995858,-1.365754,-11.206761,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473470,0.22026655,-0.25617957,9.466674,-0.009773844,-0.0012217305,0.0012217305,1.7995858,-1.365754,-11.206761,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473470,0.22026655,-0.25617957,9.466674,-0.009773844,-0.0012217305,0.0012217305,1.8040141,-1.3698167,-11.206551,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473490,0.31124622,-0.35913026,9.452309,-0.009773844,-0.0012217305,0.0012217305,1.8040141,-1.3698167,-11.206551,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473490,0.31124622,-0.35913026,9.452309,-0.008552114,-0.002443461,0.0012217305,1.8040141,-1.3698167,-11.206551,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473490,0.31124622,-0.35913026,9.452309,-0.008552114,-0.002443461,0.0012217305,1.8097764,-1.3709716,-11.207043,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473511,0.17956513,-0.18914193,9.524135,-0.008552114,-0.002443461,0.0012217305,1.8097764,-1.3709716,-11.207043,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473511,0.17956513,-0.18914193,9.524135,-0.008552114,-0.0036651916,0.0012217305,1.8097764,-1.3709716,-11.207043,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473511,0.17956513,-0.18914193,9.524135,-0.008552114,-0.0036651916,0.0012217305,1.8184632,-1.3748243,-11.208276,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473531,0.24181437,-0.22744916,9.52174,-0.008552114,-0.0036651916,0.0012217305,1.8184632,-1.3748243,-11.208276,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473531,0.24181437,-0.22744916,9.52174,-0.008552114,-0.0036651916,0.0,1.8184632,-1.3748243,-11.208276,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473531,0.24181437,-0.22744916,9.52174,-0.008552114,-0.0036651916,0.0,1.8216146,-1.3750743,-11.209513,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473551,0.23463176,-0.31364042,9.512163,-0.008552114,-0.0036651916,0.0,1.8216146,-1.3750743,-11.209513,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473551,0.23463176,-0.31364042,9.512163,-0.008552114,-0.002443461,0.0012217305,1.8216146,-1.3750743,-11.209513,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473551,0.23463176,-0.31364042,9.512163,-0.008552114,-0.002443461,0.0012217305,1.8218714,-1.3752704,-11.210078,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473571,0.24660277,-0.2681506,9.461885,-0.008552114,-0.002443461,0.0012217305,1.8218714,-1.3752704,-11.210078,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473571,0.24660277,-0.2681506,9.461885,-0.008552114,-0.0036651916,0.0012217305,1.8218714,-1.3752704,-11.210078,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473571,0.24660277,-0.2681506,9.461885,-0.008552114,-0.0036651916,0.0012217305,1.8263247,-1.3759785,-11.210599,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473591,0.19393034,-0.32800564,9.504981,-0.008552114,-0.0036651916,0.0012217305,1.8263247,-1.3759785,-11.210599,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473591,0.19393034,-0.32800564,9.504981,-0.008552114,-0.0036651916,0.0,1.8263247,-1.3759785,-11.210599,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473591,0.19393034,-0.32800564,9.504981,-0.008552114,-0.0036651916,0.0,1.8312997,-1.378479,-11.211089,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473611,0.2801216,-0.17956513,9.555259,-0.008552114,-0.0036651916,0.0,1.8312997,-1.378479,-11.211089,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
SESSION_20260901_205752_B498,1788276473611,0.2801216,-0.17956513,9.555259,-0.007330383,-0.002443461,0.0012217305,1.8312997,-1.378479,-11.211089,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,STANDING
