--------- beginning of main
--------- beginning of system
09-03 14:21:28.344 22555 25661 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8439, AccPeak=11.50, AccMin=9.54, AccRange=1.96, AccStd=0.30, GyroPeak=0.06, JerkPeak=93.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=78ms
09-03 14:21:28.685 22555 25631 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8598, AccPeak=9.91, AccMin=9.86, AccRange=0.05, AccStd=0.01, GyroPeak=0.05, JerkPeak=2.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=51ms
09-03 14:21:28.999 22555 25631 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8633, AccPeak=9.92, AccMin=9.86, AccRange=0.06, AccStd=0.01, GyroPeak=0.05, JerkPeak=1.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=19ms
09-03 14:21:29.487 22555 25858 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8564, AccPeak=9.92, AccMin=9.85, AccRange=0.07, AccStd=0.01, GyroPeak=0.04, JerkPeak=1.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=78ms
09-03 14:21:29.825 22555 25860 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8534, AccPeak=9.90, AccMin=9.85, AccRange=0.05, AccStd=0.01, GyroPeak=0.03, JerkPeak=2.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=7ms
09-03 14:21:30.195 22555 25860 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8533, AccPeak=9.91, AccMin=9.85, AccRange=0.06, AccStd=0.01, GyroPeak=0.02, JerkPeak=2.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=5ms
09-03 14:21:30.541 22555 25630 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8548, AccPeak=9.91, AccMin=9.85, AccRange=0.07, AccStd=0.01, GyroPeak=0.02, JerkPeak=2.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
09-03 14:21:30.929 22555 25636 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8556, AccPeak=9.91, AccMin=9.85, AccRange=0.07, AccStd=0.01, GyroPeak=0.02, JerkPeak=2.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=4ms
09-03 14:21:31.331 22555 25632 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8541, AccPeak=9.91, AccMin=9.85, AccRange=0.06, AccStd=0.01, GyroPeak=0.02, JerkPeak=2.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=47ms
09-03 14:21:31.647 22555 25630 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8568, AccPeak=9.91, AccMin=9.85, AccRange=0.06, AccStd=0.02, GyroPeak=0.02, JerkPeak=2.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=7ms
09-03 14:21:32.021 22555 25859 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8582, AccPeak=9.90, AccMin=9.85, AccRange=0.06, AccStd=0.01, GyroPeak=0.02, JerkPeak=1.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=11ms
09-03 14:21:32.443 22555 25636 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.8772, AccPeak=9.98, AccMin=9.75, AccRange=0.24, AccStd=0.04, GyroPeak=0.58, JerkPeak=7.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=44ms
09-03 14:21:32.867 22555 25858 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9196, AccPeak=10.02, AccMin=9.63, AccRange=0.38, AccStd=0.08, GyroPeak=0.58, JerkPeak=7.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=64ms
09-03 14:21:33.109 22555 25631 D PhoneFallML: Activity=FALL_FORWARD, FallProb=0.9290, AccPeak=10.02, AccMin=9.63, AccRange=0.38, AccStd=0.08, GyroPeak=0.66, JerkPeak=7.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=SOS_TRIGGERED, Latency=6ms
