--------- beginning of main
09-02 16:45:43.148 23997 24211 D WatchFallML: Activity=PICKING_UP_OBJECT, FallProb=0.4168, AccPeak=15.52, AccMin=6.35, AccRange=9.17, AccStd=2.65, GyroPeak=5.70, JerkPeak=238.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:43.621 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.3900, AccPeak=15.08, AccMin=5.57, AccRange=9.51, AccStd=2.27, GyroPeak=5.51, JerkPeak=103.8, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=1ms
09-02 16:45:44.006 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5285, AccPeak=14.40, AccMin=5.57, AccRange=8.83, AccStd=2.62, GyroPeak=5.64, JerkPeak=101.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:44.272 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4759, AccPeak=14.40, AccMin=5.74, AccRange=8.66, AccStd=2.05, GyroPeak=5.64, JerkPeak=101.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:44.528 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.4002, AccPeak=15.25, AccMin=7.57, AccRange=7.67, AccStd=2.04, GyroPeak=3.55, JerkPeak=81.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=8ms
09-02 16:45:44.809 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4427, AccPeak=16.19, AccMin=7.52, AccRange=8.67, AccStd=2.69, GyroPeak=3.64, JerkPeak=81.0, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:45.077 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.3823, AccPeak=16.19, AccMin=7.52, AccRange=8.67, AccStd=2.65, GyroPeak=4.11, JerkPeak=126.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:45.432 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.3567, AccPeak=15.55, AccMin=6.01, AccRange=9.54, AccStd=2.76, GyroPeak=4.11, JerkPeak=126.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=1ms
09-02 16:45:45.842 23997 24211 D WatchFallML: Activity=STANDING, FallProb=0.3178, AccPeak=14.59, AccMin=6.01, AccRange=8.58, AccStd=2.22, GyroPeak=4.44, JerkPeak=158.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=3ms
09-02 16:45:46.115 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.2916, AccPeak=14.59, AccMin=8.09, AccRange=6.50, AccStd=1.84, GyroPeak=4.44, JerkPeak=158.4, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:46.465 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5418, AccPeak=15.02, AccMin=7.49, AccRange=7.54, AccStd=1.93, GyroPeak=3.14, JerkPeak=90.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:46.960 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.4880, AccPeak=17.43, AccMin=7.49, AccRange=9.94, AccStd=2.63, GyroPeak=3.14, JerkPeak=170.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:47.510 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5483, AccPeak=17.43, AccMin=7.90, AccRange=9.53, AccStd=2.57, GyroPeak=4.59, JerkPeak=170.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:47.770 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.5800, AccPeak=23.34, AccMin=8.13, AccRange=15.22, AccStd=2.88, GyroPeak=7.83, JerkPeak=160.9, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:48.073 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.6000, AccPeak=23.34, AccMin=8.13, AccRange=15.22, AccStd=3.98, GyroPeak=10.71, JerkPeak=211.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:48.369 23997 24211 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.5817, AccPeak=23.34, AccMin=9.83, AccRange=13.51, AccStd=4.01, GyroPeak=10.71, JerkPeak=211.3, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=14ms
09-02 16:45:48.799 23997 24211 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.5300, AccPeak=24.01, AccMin=2.16, AccRange=21.85, AccStd=6.35, GyroPeak=7.78, JerkPeak=158.5, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=11ms
09-02 16:45:49.182 23997 24211 I WatchFallML: Potential impact collision detected! AccPeak=38.306927, JerkPeak=402.68918. Awaiting post-impact stillness confirmation.
09-02 16:45:49.183 23997 24211 D WatchFallML: Activity=RUNNING, FallProb=0.4452, AccPeak=38.31, AccMin=2.02, AccRange=36.29, AccStd=10.55, GyroPeak=10.98, JerkPeak=402.7, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=1ms
09-02 16:45:49.471 23997 24211 I WatchFallML: Potential impact collision detected! AccPeak=38.306927, JerkPeak=402.68918. Awaiting post-impact stillness confirmation.
09-02 16:45:49.472 23997 24211 D WatchFallML: Activity=FALL_BACKWARD, FallProb=0.4860, AccPeak=38.31, AccMin=2.02, AccRange=36.29, AccStd=9.56, GyroPeak=10.98, JerkPeak=402.7, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=2ms
09-02 16:45:49.799 23997 24211 I WatchFallML: Potential impact collision detected! AccPeak=31.087877, JerkPeak=855.4417. Awaiting post-impact stillness confirmation.
09-02 16:45:49.800 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6100, AccPeak=31.09, AccMin=7.40, AccRange=23.69, AccStd=5.67, GyroPeak=16.72, JerkPeak=855.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=9ms
09-02 16:45:50.069 23997 24211 I WatchFallML: Potential impact collision detected! AccPeak=31.087877, JerkPeak=855.4417. Awaiting post-impact stillness confirmation.
09-02 16:45:50.070 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5825, AccPeak=31.09, AccMin=6.63, AccRange=24.46, AccStd=6.10, GyroPeak=16.72, JerkPeak=855.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=1ms
09-02 16:45:50.422 23997 24211 D WatchFallML: Activity=WALKING, FallProb=0.5625, AccPeak=16.46, AccMin=6.63, AccRange=9.83, AccStd=3.09, GyroPeak=10.07, JerkPeak=186.9, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:51.151 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.6205, AccPeak=16.46, AccMin=7.08, AccRange=9.38, AccStd=2.57, GyroPeak=4.60, JerkPeak=186.9, Impact=false, TemporalScore=2, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:51.451 23997 24211 D WatchFallML: Activity=FALL_FORWARD, FallProb=0.4700, AccPeak=19.74, AccMin=8.31, AccRange=11.43, AccStd=2.61, GyroPeak=5.72, JerkPeak=269.1, Impact=false, TemporalScore=1, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:45:51.909 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5883, AccPeak=19.74, AccMin=8.43, AccRange=11.31, AccStd=2.60, GyroPeak=6.74, JerkPeak=269.1, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=2ms
