--------- beginning of main
09-02 16:43:34.862 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.84, AccMin=9.46, AccRange=0.38, AccStd=0.07, GyroPeak=0.01, JerkPeak=12.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=80ms
09-02 16:43:35.269 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.84, AccMin=9.46, AccRange=0.38, AccStd=0.07, GyroPeak=0.01, JerkPeak=12.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=80ms
09-02 16:43:35.611 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.71, AccMin=9.41, AccRange=0.30, AccStd=0.06, GyroPeak=0.01, JerkPeak=8.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=60ms
09-02 16:43:35.718 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.72, AccMin=9.41, AccRange=0.31, AccStd=0.06, GyroPeak=0.01, JerkPeak=8.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=23ms
09-02 16:43:35.908 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.72, AccMin=9.47, AccRange=0.25, AccStd=0.05, GyroPeak=0.02, JerkPeak=6.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=15ms
09-02 16:43:36.173 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.64, AccMin=9.47, AccRange=0.17, AccStd=0.04, GyroPeak=0.02, JerkPeak=6.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=78ms
09-02 16:43:36.358 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.65, AccMin=9.51, AccRange=0.14, AccStd=0.04, GyroPeak=0.01, JerkPeak=4.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=9ms
09-02 16:43:36.579 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.69, AccMin=9.49, AccRange=0.19, AccStd=0.04, GyroPeak=0.01, JerkPeak=5.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=17ms
09-02 16:43:36.886 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.69, AccMin=9.49, AccRange=0.19, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=14ms
09-02 16:43:37.219 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.68, AccMin=9.49, AccRange=0.18, AccStd=0.04, GyroPeak=0.01, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=9ms
09-02 16:43:37.618 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.6000, AccPeak=9.66, AccMin=9.53, AccRange=0.13, AccStd=0.03, GyroPeak=0.02, JerkPeak=5.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 16:43:37.943 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.66, AccMin=9.51, AccRange=0.15, AccStd=0.03, GyroPeak=0.02, JerkPeak=4.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 16:43:38.394 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.66, AccMin=9.50, AccRange=0.16, AccStd=0.04, GyroPeak=0.02, JerkPeak=7.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=113ms
09-02 16:43:38.619 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.68, AccMin=9.48, AccRange=0.20, AccStd=0.05, GyroPeak=0.02, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=36ms
09-02 16:43:38.978 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.90, AccMin=9.23, AccRange=0.67, AccStd=0.10, GyroPeak=0.02, JerkPeak=25.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 16:43:39.221 23997 24211 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5500, AccPeak=10.21, AccMin=9.23, AccRange=0.98, AccStd=0.18, GyroPeak=0.03, JerkPeak=40.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 16:43:39.542 23997 24209 D WatchFallML: Activity=STANDING, FallProb=0.5400, AccPeak=10.21, AccMin=9.40, AccRange=0.82, AccStd=0.15, GyroPeak=0.03, JerkPeak=40.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=10ms
09-02 16:43:39.883 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.78, AccMin=9.48, AccRange=0.31, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:43:40.302 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.68, AccMin=9.52, AccRange=0.16, AccStd=0.04, GyroPeak=0.01, JerkPeak=6.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:43:40.581 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.68, AccMin=9.53, AccRange=0.14, AccStd=0.04, GyroPeak=0.01, JerkPeak=5.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 16:43:40.970 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.67, AccMin=9.54, AccRange=0.13, AccStd=0.03, GyroPeak=0.01, JerkPeak=5.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 16:43:41.568 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.71, AccMin=9.52, AccRange=0.20, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 16:43:41.910 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.71, AccMin=9.52, AccRange=0.20, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=90ms
09-02 16:43:41.939 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.68, AccMin=9.52, AccRange=0.16, AccStd=0.04, GyroPeak=0.01, JerkPeak=5.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=18ms
09-02 16:43:42.362 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.67, AccMin=9.52, AccRange=0.15, AccStd=0.04, GyroPeak=0.01, JerkPeak=5.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:43:42.535 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.67, AccMin=9.52, AccRange=0.15, AccStd=0.04, GyroPeak=0.01, JerkPeak=5.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:43:43.285 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.66, AccMin=9.49, AccRange=0.16, AccStd=0.04, GyroPeak=0.01, JerkPeak=5.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:43:43.453 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.66, AccMin=9.46, AccRange=0.20, AccStd=0.04, GyroPeak=0.01, JerkPeak=10.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=12ms
09-02 16:43:43.771 23997 24209 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.66, AccMin=9.45, AccRange=0.21, AccStd=0.04, GyroPeak=0.01, JerkPeak=10.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=82ms
09-02 16:43:43.921 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.63, AccMin=9.45, AccRange=0.17, AccStd=0.04, GyroPeak=0.01, JerkPeak=6.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 16:43:44.354 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.63, AccMin=9.50, AccRange=0.14, AccStd=0.04, GyroPeak=0.01, JerkPeak=4.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:43:44.821 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.66, AccMin=9.45, AccRange=0.21, AccStd=0.05, GyroPeak=0.01, JerkPeak=7.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 16:43:45.082 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.66, AccMin=9.45, AccRange=0.21, AccStd=0.05, GyroPeak=0.01, JerkPeak=7.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=9ms
09-02 16:43:45.271 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.63, AccMin=9.45, AccRange=0.18, AccStd=0.05, GyroPeak=0.01, JerkPeak=8.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=4ms
09-02 16:43:45.781 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.65, AccMin=9.45, AccRange=0.20, AccStd=0.06, GyroPeak=0.01, JerkPeak=8.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=31ms
09-02 16:43:45.927 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.65, AccMin=9.49, AccRange=0.16, AccStd=0.04, GyroPeak=0.01, JerkPeak=7.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=5ms
09-02 16:43:46.319 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.64, AccMin=9.48, AccRange=0.16, AccStd=0.04, GyroPeak=0.01, JerkPeak=6.4, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=10ms
09-02 16:43:46.538 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.66, AccMin=9.48, AccRange=0.18, AccStd=0.04, GyroPeak=0.01, JerkPeak=6.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-02 16:43:46.956 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.67, AccMin=9.50, AccRange=0.17, AccStd=0.05, GyroPeak=0.01, JerkPeak=7.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-02 16:43:47.217 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5900, AccPeak=9.67, AccMin=9.48, AccRange=0.19, AccStd=0.05, GyroPeak=0.02, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-02 16:43:47.633 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.67, AccMin=9.48, AccRange=0.19, AccStd=0.05, GyroPeak=0.02, JerkPeak=8.1, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-02 16:43:47.956 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.67, AccMin=9.49, AccRange=0.17, AccStd=0.04, GyroPeak=0.01, JerkPeak=6.6, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=17ms
09-02 16:43:48.246 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.65, AccMin=9.48, AccRange=0.17, AccStd=0.04, GyroPeak=0.01, JerkPeak=5.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-02 16:43:48.566 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.70, AccMin=9.48, AccRange=0.21, AccStd=0.05, GyroPeak=0.02, JerkPeak=6.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-02 16:43:48.923 23997 24210 D WatchFallML: Activity=FALL_LEFT, FallProb=0.5800, AccPeak=9.70, AccMin=9.53, AccRange=0.17, AccStd=0.04, GyroPeak=0.02, JerkPeak=6.7, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
