--------- beginning of main
09-03 14:03:20.837  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3198, AccPeak=11.26, AccMin=8.60, AccRange=2.66, AccStd=0.65, GyroPeak=1.85, JerkPeak=73.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=10ms
09-03 14:03:21.014  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3395, AccPeak=11.26, AccMin=8.99, AccRange=2.26, AccStd=0.57, GyroPeak=1.85, JerkPeak=65.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 14:03:21.591  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.3912, AccPeak=11.04, AccMin=8.87, AccRange=2.17, AccStd=0.58, GyroPeak=1.76, JerkPeak=69.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=20ms
09-03 14:03:21.971  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4519, AccPeak=10.25, AccMin=8.87, AccRange=1.38, AccStd=0.27, GyroPeak=1.69, JerkPeak=69.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 14:03:22.287  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4858, AccPeak=10.20, AccMin=9.32, AccRange=0.88, AccStd=0.19, GyroPeak=1.22, JerkPeak=15.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:22.605  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4666, AccPeak=10.20, AccMin=9.39, AccRange=0.81, AccStd=0.19, GyroPeak=0.84, JerkPeak=15.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=14ms
09-03 14:03:23.049  5595  8531 D WatchFallML: Activity=FALL_LEFT, FallProb=0.4322, AccPeak=10.20, AccMin=9.41, AccRange=0.79, AccStd=0.17, GyroPeak=1.25, JerkPeak=12.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=24ms
09-03 14:03:23.535  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.4226, AccPeak=10.61, AccMin=9.41, AccRange=1.20, AccStd=0.30, GyroPeak=2.76, JerkPeak=22.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:24.064  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3607, AccPeak=10.79, AccMin=8.86, AccRange=1.93, AccStd=0.46, GyroPeak=2.76, JerkPeak=76.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 14:03:24.434  5595  8531 D WatchFallML: Activity=SITTING, FallProb=0.3852, AccPeak=11.00, AccMin=8.86, AccRange=2.14, AccStd=0.50, GyroPeak=0.87, JerkPeak=76.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
