--------- beginning of main
09-03 13:47:06.182  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1506, AccPeak=9.94, AccMin=9.51, AccRange=0.43, AccStd=0.11, GyroPeak=0.19, JerkPeak=12.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:06.552  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1605, AccPeak=9.93, AccMin=9.51, AccRange=0.42, AccStd=0.09, GyroPeak=0.19, JerkPeak=12.3, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:06.845  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1600, AccPeak=9.90, AccMin=9.58, AccRange=0.32, AccStd=0.08, GyroPeak=0.19, JerkPeak=6.5, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:07.292  5595  6937 D WatchFallML: Activity=SITTING, FallProb=0.1800, AccPeak=9.90, AccMin=9.60, AccRange=0.30, AccStd=0.07, GyroPeak=0.06, JerkPeak=6.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=19ms
09-03 13:47:07.484  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.83, AccMin=9.58, AccRange=0.25, AccStd=0.07, GyroPeak=0.05, JerkPeak=6.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=7ms
09-03 13:47:07.855  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1100, AccPeak=9.79, AccMin=9.55, AccRange=0.24, AccStd=0.07, GyroPeak=0.05, JerkPeak=9.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=3ms
09-03 13:47:08.156  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.83, AccMin=9.55, AccRange=0.28, AccStd=0.07, GyroPeak=0.06, JerkPeak=9.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:08.668  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.83, AccMin=9.58, AccRange=0.25, AccStd=0.06, GyroPeak=0.06, JerkPeak=8.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:08.928  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1600, AccPeak=9.81, AccMin=9.63, AccRange=0.19, AccStd=0.05, GyroPeak=0.04, JerkPeak=5.8, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:09.153  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1300, AccPeak=9.79, AccMin=9.63, AccRange=0.16, AccStd=0.05, GyroPeak=0.05, JerkPeak=6.0, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:09.495  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.80, AccMin=9.63, AccRange=0.17, AccStd=0.05, GyroPeak=0.05, JerkPeak=8.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=2ms
09-03 13:47:09.927  5595  6185 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.80, AccMin=9.58, AccRange=0.22, AccStd=0.05, GyroPeak=0.05, JerkPeak=8.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
09-03 13:47:10.166  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.77, AccMin=9.58, AccRange=0.20, AccStd=0.04, GyroPeak=0.05, JerkPeak=7.9, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=9ms
09-03 13:47:10.655  5595  5795 D WatchFallML: Activity=SITTING, FallProb=0.1200, AccPeak=9.83, AccMin=9.53, AccRange=0.30, AccStd=0.07, GyroPeak=0.05, JerkPeak=13.2, Impact=false, TemporalScore=0, PostImpact=true, ActiveMotion=false, State=MONITORING, Latency=1ms
