--------- beginning of main
09-02 19:01:23.900 23997   808 D WatchFallML: Activity=RUNNING, FallProb=0.0611, AccPeak=30.31, AccMin=1.44, AccRange=28.87, AccStd=6.66, GyroPeak=2.57, JerkPeak=754.8, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=2ms
09-02 19:01:25.099 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0381, AccPeak=33.08, AccMin=1.44, AccRange=31.65, AccStd=7.70, GyroPeak=2.57, JerkPeak=754.8, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=FALL_SUSPECTED, Latency=2ms
09-02 19:01:25.128 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0206, AccPeak=33.14, AccMin=1.44, AccRange=31.70, AccStd=7.67, GyroPeak=2.31, JerkPeak=452.7, Impact=false, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=24ms
09-02 19:01:25.892 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0300, AccPeak=44.38, AccMin=1.29, AccRange=43.09, AccStd=10.96, GyroPeak=3.85, JerkPeak=2077.3, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=2ms
09-02 19:01:26.069 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=44.379635, JerkPeak=2077.2905. Awaiting post-impact stillness confirmation.
09-02 19:01:26.070 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0206, AccPeak=44.38, AccMin=1.08, AccRange=43.30, AccStd=9.88, GyroPeak=3.85, JerkPeak=2077.3, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=3ms
09-02 19:01:26.802 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.1000, AccPeak=46.16, AccMin=1.12, AccRange=45.03, AccStd=13.80, GyroPeak=3.85, JerkPeak=2077.3, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=4ms
09-02 19:01:26.833 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=46.156445, JerkPeak=2077.2905. Awaiting post-impact stillness confirmation.
09-02 19:01:26.834 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.1400, AccPeak=46.16, AccMin=1.08, AccRange=45.08, AccStd=11.77, GyroPeak=3.85, JerkPeak=2077.3, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=1ms
09-02 19:01:28.147 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.1200, AccPeak=51.52, AccMin=1.02, AccRange=50.50, AccStd=12.52, GyroPeak=4.11, JerkPeak=2499.9, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=2ms
09-02 19:01:28.200 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=51.521893, JerkPeak=2460.4036. Awaiting post-impact stillness confirmation.
09-02 19:01:28.201 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.1018, AccPeak=51.52, AccMin=1.02, AccRange=50.50, AccStd=11.81, GyroPeak=4.11, JerkPeak=2460.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=2ms
09-02 19:01:29.293 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=67.06622, JerkPeak=2460.4036. Awaiting post-impact stillness confirmation.
09-02 19:01:29.294 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0400, AccPeak=67.07, AccMin=1.02, AccRange=66.05, AccStd=20.08, GyroPeak=5.90, JerkPeak=2460.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=1ms
09-02 19:01:29.327 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0500, AccPeak=67.07, AccMin=1.02, AccRange=66.05, AccStd=20.57, GyroPeak=5.90, JerkPeak=2499.9, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=1ms
09-02 19:01:30.144 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=67.06622, JerkPeak=860.87134. Awaiting post-impact stillness confirmation.
09-02 19:01:30.180 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0800, AccPeak=67.07, AccMin=2.51, AccRange=64.55, AccStd=15.88, GyroPeak=7.08, JerkPeak=860.9, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=1ms
09-02 19:01:30.339 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0800, AccPeak=67.07, AccMin=1.23, AccRange=65.84, AccStd=16.90, GyroPeak=7.08, JerkPeak=860.9, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=2ms
09-02 19:01:30.905 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=74.78661, JerkPeak=3139.213. Awaiting post-impact stillness confirmation.
09-02 19:01:30.906 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0900, AccPeak=74.79, AccMin=4.47, AccRange=70.32, AccStd=16.69, GyroPeak=8.31, JerkPeak=3139.2, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=2ms
09-02 19:01:31.175 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.1000, AccPeak=74.79, AccMin=3.79, AccRange=71.00, AccStd=16.28, GyroPeak=8.31, JerkPeak=3139.2, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=2ms
09-02 19:01:32.022 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=74.78661, JerkPeak=3139.213. Awaiting post-impact stillness confirmation.
09-02 19:01:32.023 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0600, AccPeak=74.79, AccMin=1.29, AccRange=73.50, AccStd=18.66, GyroPeak=8.31, JerkPeak=3139.2, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=95ms
09-02 19:01:32.312 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.0200, AccPeak=74.79, AccMin=1.29, AccRange=73.50, AccStd=18.25, GyroPeak=8.31, JerkPeak=3139.2, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=true, State=FALL_SUSPECTED, Latency=2ms
09-02 19:01:32.552 23997 23997 W WatchFallML: Countdown expired! Escalating to FALL_CONFIRMED -> SOS_TRIGGERED
09-02 19:01:32.934 23997   808 I WatchFallML: Potential impact collision detected! AccPeak=30.17294, JerkPeak=1043.26. Awaiting post-impact stillness confirmation.
09-02 19:01:32.935 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.2167, AccPeak=30.17, AccMin=1.29, AccRange=28.88, AccStd=5.95, GyroPeak=4.32, JerkPeak=1043.3, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=3ms
09-02 19:01:33.098 23997   808 D WatchFallML: Activity=JUMPING, FallProb=0.1913, AccPeak=30.17, AccMin=1.29, AccRange=28.88, AccStd=4.19, GyroPeak=5.47, JerkPeak=1043.3, Impact=true, TemporalScore=0, PostImpact=false, ActiveMotion=false, State=SOS_TRIGGERED, Latency=2ms
