--------- beginning of main
09-02 16:47:49.149 22240  1834 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.9610, AccPeak=50.43, AccMin=5.74, AccRange=44.69, AccStd=7.53, GyroPeak=13.21, JerkPeak=1254.3, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=11ms
09-02 16:47:49.479 22240  1834 I PhoneFallML: Potential impact collision detected! AccPeak=48.567066, JerkPeak=1305.497. Awaiting post-impact stillness confirmation.
09-02 16:47:49.481 22240  1834 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.8911, AccPeak=48.57, AccMin=6.13, AccRange=42.43, AccStd=6.09, GyroPeak=4.13, JerkPeak=1305.5, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:49.848 22240  1834 I PhoneFallML: Potential impact collision detected! AccPeak=48.567066, JerkPeak=1305.497. Awaiting post-impact stillness confirmation.
09-02 16:47:49.849 22240  1834 D PhoneFallML: Activity=WALKING, FallProb=0.1270, AccPeak=48.57, AccMin=6.13, AccRange=42.43, AccStd=5.85, GyroPeak=4.13, JerkPeak=1305.5, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=5ms
09-02 16:47:50.199 22240  2159 D PhoneFallML: Activity=WALKING, FallProb=0.1269, AccPeak=18.44, AccMin=6.81, AccRange=11.64, AccStd=3.04, GyroPeak=4.42, JerkPeak=96.2, Impact=false, TemporalScore=3, PostImpact=false, ActiveMotion=false, State=MONITORING, Latency=6ms
09-02 16:47:50.561 22240  1834 I PhoneFallML: Potential impact collision detected! AccPeak=24.198528, JerkPeak=501.37717. Awaiting post-impact stillness confirmation.
09-02 16:47:50.571 22240  1834 D PhoneFallML: Activity=WALKING, FallProb=0.3077, AccPeak=24.20, AccMin=3.34, AccRange=20.86, AccStd=4.36, GyroPeak=4.42, JerkPeak=501.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=7ms
09-02 16:47:50.924 22240  1836 I PhoneFallML: Potential impact collision detected! AccPeak=24.198528, JerkPeak=501.37717. Awaiting post-impact stillness confirmation.
09-02 16:47:50.925 22240  1836 D PhoneFallML: Activity=FALL_FROM_SITTING, FallProb=0.8568, AccPeak=24.20, AccMin=3.34, AccRange=20.86, AccStd=4.66, GyroPeak=5.56, JerkPeak=501.4, Impact=true, TemporalScore=4, PostImpact=false, ActiveMotion=true, State=MONITORING, Latency=4ms
